[00:01:01.526] (7aca14a777c0) DEBUG  | 0.5051s to run 608516 generators
[00:01:01.526] (7aca14a777c0) DEBUG  | 0.0642s to compute full witness
[00:01:01.526] (7aca14a777c0) DEBUG  | 0.0060s to compute wire polynomials
[00:01:01.526] (7aca14a777c0) DEBUG  | 3.7375s to compute wires commitment
[00:01:01.526] (7aca14a777c0) DEBUG  | | 0.0522s to IFFT
[00:01:01.526] (7aca14a777c0) DEBUG  | | 0.5140s to FFT + blinding
[00:01:01.526] (7aca14a777c0) DEBUG  | | 0.0761s to transpose LDEs
[00:01:01.526] (7aca14a777c0) DEBUG  | | 3.0927s to build Merkle tree
[00:01:01.526] (7aca14a777c0) DEBUG  | 0.0571s to compute partial products
[00:01:01.526] (7aca14a777c0) DEBUG  | 0.7893s to commit to partial products, Z's and, if any, lookup polynomials
[00:01:01.526] (7aca14a777c0) DEBUG  | | 0.0089s to IFFT
[00:01:01.526] (7aca14a777c0) DEBUG  | | 0.0758s to FFT + blinding
[00:01:01.526] (7aca14a777c0) DEBUG  | | 0.0084s to transpose LDEs
[00:01:01.526] (7aca14a777c0) DEBUG  | | 0.6944s to build Merkle tree
[00:01:01.526] (7aca14a777c0) DEBUG  | 1.2239s to compute quotient polys
[00:01:01.526] (7aca14a777c0) DEBUG  | 0.0020s to split up quotient polys
[00:01:01.526] (7aca14a777c0) DEBUG  | 0.5903s to commit to quotient polys
[00:01:01.526] (7aca14a777c0) DEBUG  | | 0.0584s to FFT + blinding
[00:01:01.526] (7aca14a777c0) DEBUG  | | 0.0062s to transpose LDEs
[00:01:01.526] (7aca14a777c0) DEBUG  | | 0.5240s to build Merkle tree
[00:01:01.526] (7aca14a777c0) DEBUG  | 0.0282s to construct the opening set, including lookups
[00:01:01.526] (7aca14a777c0) DEBUG  | 0.2488s to compute opening proofs
[00:01:01.526] (7aca14a777c0) DEBUG  | | 0.0668s to reduce batch of 256 polynomials
[00:01:01.526] (7aca14a777c0) DEBUG  | | 0.0005s to reduce batch of 2 polynomials
[00:01:01.526] (7aca14a777c0) DEBUG  | | 0.0437s to perform final FFT 524288
[00:01:01.526] (7aca14a777c0) DEBUG  | | 0.0666s to fold codewords in the commitment phase
[00:01:01.526] (7aca14a777c0) DEBUG  | | 0.0682s to find proof-of-work witness
loop 2
[00:01:08.785] (7aca14a777c0) INFO   7.2578s to prove step 2
[00:01:08.785] (7aca14a777c0) DEBUG  | 0.4306s to run 608516 generators
[00:01:08.785] (7aca14a777c0) DEBUG  | 0.0607s to compute full witness
[00:01:08.785] (7aca14a777c0) DEBUG  | 0.0049s to compute wire polynomials
[00:01:08.785] (7aca14a777c0) DEBUG  | 3.6905s to compute wires commitment
[00:01:08.785] (7aca14a777c0) DEBUG  | | 0.0514s to IFFT
[00:01:08.785] (7aca14a777c0) DEBUG  | | 0.4719s to FFT + blinding
[00:01:08.785] (7aca14a777c0) DEBUG  | | 0.0729s to transpose LDEs
[00:01:08.785] (7aca14a777c0) DEBUG  | | 3.0918s to build Merkle tree
[00:01:08.785] (7aca14a777c0) DEBUG  | 0.0572s to compute partial products
[00:01:08.785] (7aca14a777c0) DEBUG  | 0.7928s to commit to partial products, Z's and, if any, lookup polynomials
[00:01:08.785] (7aca14a777c0) DEBUG  | | 0.0092s to IFFT
[00:01:08.785] (7aca14a777c0) DEBUG  | | 0.0795s to FFT + blinding
[00:01:08.785] (7aca14a777c0) DEBUG  | | 0.0082s to transpose LDEs
[00:01:08.785] (7aca14a777c0) DEBUG  | | 0.6942s to build Merkle tree
[00:01:08.786] (7aca14a777c0) DEBUG  | 1.2247s to compute quotient polys
[00:01:08.786] (7aca14a777c0) DEBUG  | 0.0021s to split up quotient polys
[00:01:08.786] (7aca14a777c0) DEBUG  | 0.5903s to commit to quotient polys
[00:01:08.786] (7aca14a777c0) DEBUG  | | 0.0576s to FFT + blinding
[00:01:08.786] (7aca14a777c0) DEBUG  | | 0.0061s to transpose LDEs
[00:01:08.786] (7aca14a777c0) DEBUG  | | 0.5232s to build Merkle tree
[00:01:08.786] (7aca14a777c0) DEBUG  | 0.0277s to construct the opening set, including lookups
[00:01:08.786] (7aca14a777c0) DEBUG  | 0.2001s to compute opening proofs
[00:01:08.786] (7aca14a777c0) DEBUG  | | 0.0675s to reduce batch of 256 polynomials
[00:01:08.786] (7aca14a777c0) DEBUG  | | 0.0006s to reduce batch of 2 polynomials
[00:01:08.786] (7aca14a777c0) DEBUG  | | 0.0438s to perform final FFT 524288
[00:01:08.786] (7aca14a777c0) DEBUG  | | 0.0671s to fold codewords in the commitment phase
[00:01:08.786] (7aca14a777c0) DEBUG  | | 0.0181s to find proof-of-work witness
loop 3
[00:01:16.064] (7aca14a777c0) INFO   7.2768s to prove step 3
[00:01:16.064] (7aca14a777c0) DEBUG  | 0.4300s to run 608516 generators
[00:01:16.064] (7aca14a777c0) DEBUG  | 0.0607s to compute full witness
[00:01:16.064] (7aca14a777c0) DEBUG  | 0.0048s to compute wire polynomials
[00:01:16.064] (7aca14a777c0) DEBUG  | 3.6943s to compute wires commitment
[00:01:16.064] (7aca14a777c0) DEBUG  | | 0.0518s to IFFT
[00:01:16.064] (7aca14a777c0) DEBUG  | | 0.4731s to FFT + blinding
[00:01:16.064] (7aca14a777c0) DEBUG  | | 0.0751s to transpose LDEs
[00:01:16.064] (7aca14a777c0) DEBUG  | | 3.0925s to build Merkle tree
[00:01:16.064] (7aca14a777c0) DEBUG  | 0.0570s to compute partial products
[00:01:16.064] (7aca14a777c0) DEBUG  | 0.7919s to commit to partial products, Z's and, if any, lookup polynomials
[00:01:16.064] (7aca14a777c0) DEBUG  | | 0.0091s to IFFT
[00:01:16.064] (7aca14a777c0) DEBUG  | | 0.0789s to FFT + blinding
[00:01:16.064] (7aca14a777c0) DEBUG  | | 0.0081s to transpose LDEs
[00:01:16.064] (7aca14a777c0) DEBUG  | | 0.6941s to build Merkle tree
[00:01:16.064] (7aca14a777c0) DEBUG  | 1.2235s to compute quotient polys
[00:01:16.064] (7aca14a777c0) DEBUG  | 0.0018s to split up quotient polys
[00:01:16.064] (7aca14a777c0) DEBUG  | 0.5941s to commit to quotient polys
[00:01:16.064] (7aca14a777c0) DEBUG  | | 0.0588s to FFT + blinding
[00:01:16.064] (7aca14a777c0) DEBUG  | | 0.0062s to transpose LDEs
[00:01:16.064] (7aca14a777c0) DEBUG  | | 0.5232s to build Merkle tree
[00:01:16.064] (7aca14a777c0) DEBUG  | 0.0272s to construct the opening set, including lookups
[00:01:16.064] (7aca14a777c0) DEBUG  | 0.2120s to compute opening proofs
[00:01:16.064] (7aca14a777c0) DEBUG  | | 0.0672s to reduce batch of 256 polynomials
[00:01:16.064] (7aca14a777c0) DEBUG  | | 0.0005s to reduce batch of 2 polynomials
[00:01:16.064] (7aca14a777c0) DEBUG  | | 0.0438s to perform final FFT 524288
[00:01:16.064] (7aca14a777c0) DEBUG  | | 0.0667s to fold codewords in the commitment phase
[00:01:16.064] (7aca14a777c0) DEBUG  | | 0.0308s to find proof-of-work witness
loop 4
[00:01:23.303] (7aca14a777c0) INFO   7.2379s to prove step 4
[00:01:23.303] (7aca14a777c0) DEBUG  | 0.4306s to run 608516 generators
[00:01:23.303] (7aca14a777c0) DEBUG  | 0.0608s to compute full witness
[00:01:23.304] (7aca14a777c0) DEBUG  | 0.0048s to compute wire polynomials
[00:01:23.304] (7aca14a777c0) DEBUG  | 3.6871s to compute wires commitment
[00:01:23.304] (7aca14a777c0) DEBUG  | | 0.0517s to IFFT
[00:01:23.304] (7aca14a777c0) DEBUG  | | 0.4750s to FFT + blinding
[00:01:23.304] (7aca14a777c0) DEBUG  | | 0.0674s to transpose LDEs
[00:01:23.304] (7aca14a777c0) DEBUG  | | 3.0913s to build Merkle tree
[00:01:23.304] (7aca14a777c0) DEBUG  | 0.0573s to compute partial products
[00:01:23.304] (7aca14a777c0) DEBUG  | 0.7919s to commit to partial products, Z's and, if any, lookup polynomials
[00:01:23.304] (7aca14a777c0) DEBUG  | | 0.0080s to IFFT
[00:01:23.304] (7aca14a777c0) DEBUG  | | 0.0793s to FFT + blinding
[00:01:23.304] (7aca14a777c0) DEBUG  | | 0.0082s to transpose LDEs
[00:01:23.304] (7aca14a777c0) DEBUG  | | 0.6941s to build Merkle tree
[00:01:23.304] (7aca14a777c0) DEBUG  | 1.2203s to compute quotient polys
[00:01:23.304] (7aca14a777c0) DEBUG  | 0.0018s to split up quotient polys
[00:01:23.304] (7aca14a777c0) DEBUG  | 0.5934s to commit to quotient polys
[00:01:23.304] (7aca14a777c0) DEBUG  | | 0.0588s to FFT + blinding
[00:01:23.304] (7aca14a777c0) DEBUG  | | 0.0062s to transpose LDEs
[00:01:23.304] (7aca14a777c0) DEBUG  | | 0.5227s to build Merkle tree
[00:01:23.304] (7aca14a777c0) DEBUG  | 0.0273s to construct the opening set, including lookups
[00:01:23.304] (7aca14a777c0) DEBUG  | 0.1824s to compute opening proofs
[00:01:23.304] (7aca14a777c0) DEBUG  | | 0.0683s to reduce batch of 256 polynomials
[00:01:23.304] (7aca14a777c0) DEBUG  | | 0.0006s to reduce batch of 2 polynomials
[00:01:23.304] (7aca14a777c0) DEBUG  | | 0.0438s to perform final FFT 524288
[00:01:23.304] (7aca14a777c0) DEBUG  | | 0.0664s to fold codewords in the commitment phase
[00:01:23.304] (7aca14a777c0) DEBUG  | | 0.0003s to find proof-of-work witness
loop 5
[00:01:30.583] (7aca14a777c0) INFO   7.2779s to prove step 5
[00:01:30.583] (7aca14a777c0) DEBUG  | 0.4366s to run 608516 generators
[00:01:30.583] (7aca14a777c0) DEBUG  | 0.0613s to compute full witness
[00:01:30.583] (7aca14a777c0) DEBUG  | 0.0050s to compute wire polynomials
[00:01:30.583] (7aca14a777c0) DEBUG  | 3.6908s to compute wires commitment
[00:01:30.583] (7aca14a777c0) DEBUG  | | 0.0517s to IFFT
[00:01:30.583] (7aca14a777c0) DEBUG  | | 0.4765s to FFT + blinding
[00:01:30.583] (7aca14a777c0) DEBUG  | | 0.0699s to transpose LDEs
[00:01:30.583] (7aca14a777c0) DEBUG  | | 3.0908s to build Merkle tree
[00:01:30.583] (7aca14a777c0) DEBUG  | 0.0591s to compute partial products
[00:01:30.583] (7aca14a777c0) DEBUG  | 0.7961s to commit to partial products, Z's and, if any, lookup polynomials
[00:01:30.583] (7aca14a777c0) DEBUG  | | 0.0092s to IFFT
[00:01:30.583] (7aca14a777c0) DEBUG  | | 0.0812s to FFT + blinding
[00:01:30.583] (7aca14a777c0) DEBUG  | | 0.0091s to transpose LDEs
[00:01:30.583] (7aca14a777c0) DEBUG  | | 0.6946s to build Merkle tree
[00:01:30.583] (7aca14a777c0) DEBUG  | 1.2307s to compute quotient polys
[00:01:30.583] (7aca14a777c0) DEBUG  | 0.0022s to split up quotient polys
[00:01:30.583] (7aca14a777c0) DEBUG  | 0.6007s to commit to quotient polys
[00:01:30.583] (7aca14a777c0) DEBUG  | | 0.0631s to FFT + blinding
[00:01:30.583] (7aca14a777c0) DEBUG  | | 0.0075s to transpose LDEs
[00:01:30.583] (7aca14a777c0) DEBUG  | | 0.5241s to build Merkle tree
[00:01:30.583] (7aca14a777c0) DEBUG  | 0.0273s to construct the opening set, including lookups
[00:01:30.583] (7aca14a777c0) DEBUG  | 0.1860s to compute opening proofs
[00:01:30.583] (7aca14a777c0) DEBUG  | | 0.0674s to reduce batch of 256 polynomials
[00:01:30.584] (7aca14a777c0) DEBUG  | | 0.0005s to reduce batch of 2 polynomials
[00:01:30.584] (7aca14a777c0) DEBUG  | | 0.0438s to perform final FFT 524288
[00:01:30.584] (7aca14a777c0) DEBUG  | | 0.0665s to fold codewords in the commitment phase
[00:01:30.584] (7aca14a777c0) DEBUG  | | 0.0047s to find proof-of-work witness
loop 6
[00:01:37.945] (7aca14a777c0) INFO   7.3603s to prove step 6
[00:01:37.945] (7aca14a777c0) DEBUG  | 0.4311s to run 608516 generators
[00:01:37.945] (7aca14a777c0) DEBUG  | 0.0614s to compute full witness
[00:01:37.945] (7aca14a777c0) DEBUG  | 0.0050s to compute wire polynomials
[00:01:37.945] (7aca14a777c0) DEBUG  | 3.6984s to compute wires commitment
[00:01:37.945] (7aca14a777c0) DEBUG  | | 0.0519s to IFFT
[00:01:37.945] (7aca14a777c0) DEBUG  | | 0.4775s to FFT + blinding
[00:01:37.945] (7aca14a777c0) DEBUG  | | 0.0739s to transpose LDEs
[00:01:37.945] (7aca14a777c0) DEBUG  | | 3.0933s to build Merkle tree
[00:01:37.945] (7aca14a777c0) DEBUG  | 0.0572s to compute partial products
[00:01:37.945] (7aca14a777c0) DEBUG  | 0.7941s to commit to partial products, Z's and, if any, lookup polynomials
[00:01:37.945] (7aca14a777c0) DEBUG  | | 0.0094s to IFFT
[00:01:37.945] (7aca14a777c0) DEBUG  | | 0.0800s to FFT + blinding
[00:01:37.945] (7aca14a777c0) DEBUG  | | 0.0086s to transpose LDEs
[00:01:37.945] (7aca14a777c0) DEBUG  | | 0.6938s to build Merkle tree
[00:01:37.945] (7aca14a777c0) DEBUG  | 1.2237s to compute quotient polys
[00:01:37.945] (7aca14a777c0) DEBUG  | 0.0020s to split up quotient polys
[00:01:37.945] (7aca14a777c0) DEBUG  | 0.5974s to commit to quotient polys
[00:01:37.945] (7aca14a777c0) DEBUG  | | 0.0606s to FFT + blinding
[00:01:37.945] (7aca14a777c0) DEBUG  | | 0.0066s to transpose LDEs
[00:01:37.945] (7aca14a777c0) DEBUG  | | 0.5244s to build Merkle tree
[00:01:37.945] (7aca14a777c0) DEBUG  | 0.0275s to construct the opening set, including lookups
[00:01:37.945] (7aca14a777c0) DEBUG  | 0.2811s to compute opening proofs
[00:01:37.945] (7aca14a777c0) DEBUG  | | 0.0677s to reduce batch of 256 polynomials
[00:01:37.945] (7aca14a777c0) DEBUG  | | 0.0006s to reduce batch of 2 polynomials
[00:01:37.945] (7aca14a777c0) DEBUG  | | 0.0438s to perform final FFT 524288
[00:01:37.945] (7aca14a777c0) DEBUG  | | 0.0667s to fold codewords in the commitment phase
[00:01:37.946] (7aca14a777c0) DEBUG  | | 0.0994s to find proof-of-work witness
loop 7
[00:01:45.195] (7aca14a777c0) INFO   7.2484s to prove step 7
[00:01:45.195] (7aca14a777c0) DEBUG  | 0.4299s to run 608516 generators
[00:01:45.195] (7aca14a777c0) DEBUG  | 0.0607s to compute full witness
[00:01:45.195] (7aca14a777c0) DEBUG  | 0.0048s to compute wire polynomials
[00:01:45.195] (7aca14a777c0) DEBUG  | 3.6954s to compute wires commitment
[00:01:45.195] (7aca14a777c0) DEBUG  | | 0.0523s to IFFT
[00:01:45.195] (7aca14a777c0) DEBUG  | | 0.4780s to FFT + blinding
[00:01:45.195] (7aca14a777c0) DEBUG  | | 0.0721s to transpose LDEs
[00:01:45.195] (7aca14a777c0) DEBUG  | | 3.0912s to build Merkle tree
[00:01:45.195] (7aca14a777c0) DEBUG  | 0.0575s to compute partial products
[00:01:45.195] (7aca14a777c0) DEBUG  | 0.7897s to commit to partial products, Z's and, if any, lookup polynomials
[00:01:45.195] (7aca14a777c0) DEBUG  | | 0.0092s to IFFT
[00:01:45.195] (7aca14a777c0) DEBUG  | | 0.0766s to FFT + blinding
[00:01:45.195] (7aca14a777c0) DEBUG  | | 0.0089s to transpose LDEs
[00:01:45.195] (7aca14a777c0) DEBUG  | | 0.6932s to build Merkle tree
[00:01:45.195] (7aca14a777c0) DEBUG  | 1.2221s to compute quotient polys
[00:01:45.195] (7aca14a777c0) DEBUG  | 0.0052s to split up quotient polys
[00:01:45.195] (7aca14a777c0) DEBUG  | 0.5953s to commit to quotient polys
[00:01:45.195] (7aca14a777c0) DEBUG  | | 0.0596s to FFT + blinding
[00:01:45.196] (7aca14a777c0) DEBUG  | | 0.0063s to transpose LDEs
[00:01:45.196] (7aca14a777c0) DEBUG  | | 0.5241s to build Merkle tree
[00:01:45.196] (7aca14a777c0) DEBUG  | 0.0273s to construct the opening set, including lookups
[00:01:45.196] (7aca14a777c0) DEBUG  | 0.1821s to compute opening proofs
[00:01:45.196] (7aca14a777c0) DEBUG  | | 0.0677s to reduce batch of 256 polynomials
[00:01:45.196] (7aca14a777c0) DEBUG  | | 0.0006s to reduce batch of 2 polynomials
[00:01:45.196] (7aca14a777c0) DEBUG  | | 0.0437s to perform final FFT 524288
[00:01:45.196] (7aca14a777c0) DEBUG  | | 0.0666s to fold codewords in the commitment phase
[00:01:45.196] (7aca14a777c0) DEBUG  | | 0.0005s to find proof-of-work witness
loop 8
[00:01:52.455] (7aca14a777c0) INFO   7.2579s to prove step 8
[00:01:52.455] (7aca14a777c0) DEBUG  | 0.4263s to run 608516 generators
[00:01:52.455] (7aca14a777c0) DEBUG  | 0.0600s to compute full witness
[00:01:52.455] (7aca14a777c0) DEBUG  | 0.0049s to compute wire polynomials
[00:01:52.455] (7aca14a777c0) DEBUG  | 3.7012s to compute wires commitment
[00:01:52.455] (7aca14a777c0) DEBUG  | | 0.0517s to IFFT
[00:01:52.455] (7aca14a777c0) DEBUG  | | 0.4780s to FFT + blinding
